datetime,app_id,dev_id,time,FixAge,Lat,Lon,SatInFix,TimeActive,altitude,batteryVoltage,boardTemperature,course,imei,lastResetCause,speed,timestamp,waterEC,waterTemperature,pH,name
2020-09-14 00:00:22.377,mijnomgeving,357518080163405,1600041622377,27.0,52.3729402,4.9161763,11.0,19837.0,8.0,4.14,13.0,253.0,357518080163405.0,32.0,0.0,1600041616.0,34.0,19.32,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080163405
2020-09-14 00:00:48.689,mijnomgeving,357518080497423,1600041648689,18.0,52.5230195,5.5901858,6.0,36035.0,-21.0,4.17,11.0,50.0,357518080497423.0,32.0,0.0,1600041647.0,3302.0,16.86,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080497423
2020-09-14 00:01:21.423,mijnomgeving,357518080203151,1600041681423,2.0,52.4208613,4.8600949,5.0,4118456.0,6.0,4.21,13.0,0.0,357518080203151.0,32.0,0.0,1600041680.0,0.0,0.0,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080203151
2020-09-14 00:01:27.024,mijnomgeving,357518080328131,1600041687024,20.0,52.3911879,4.935864,4.0,9031.0,-100.0,4.07,13.0,254.0,357518080328131.0,32.0,0.0,1600041679.0,5180.0,18.53,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080328131
2020-09-14 00:01:34.856,mijnomgeving,357518080495195,1600041694856,15.0,52.3012228,5.3604371,7.0,53131.0,3.0,4.25,10.0,13.0,357518080495195.0,32.0,0.0,1600041677.0,1676.0,17.74,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080495195
2020-09-14 00:01:41.177,mijnomgeving,354444115138499,1600041701177,255.0,2.55e-05,2.55e-05,0.0,317838.0,0.0,3.6,24.0,0.0,354444115138499.0,64.0,0.0,1600041685.0,2.0,22.41,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=354444115138499
2020-09-14 00:02:07.245,mijnomgeving,357518080495161,1600041727245,6.0,52.499569,5.4529372,5.0,1433726.0,40.0,4.22,12.0,2.0,357518080495161.0,32.0,0.0,1600041723.0,659.0,15.53,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080495161
2020-09-14 00:02:19.019,mijnomgeving,357518080170889,1600041739019,22.0,52.0147136,4.295555,6.0,2802.0,5.0,4.16,11.0,4.0,357518080170889.0,32.0,0.0,1600041736.0,0.0,0.0,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080170889
2020-09-14 00:02:30.436,mijnomgeving,357518080494776,1600041750436,1.0,52.3882539,5.5645892,8.0,102617.0,1.0,4.16,7.0,243.0,357518080494776.0,32.0,0.0,1600041752.0,306.0,13.95,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080494776
2020-09-14 00:02:41.429,mijnomgeving,357518080497639,1600041761429,12.0,52.6592033,5.6608513,5.0,41430.0,-2.0,4.21,12.0,11.0,357518080497639.0,32.0,0.0,1600041760.0,2284.0,18.0,,Error: certificate has expired : https://dev.sodaq.com/api/ec_stations/getdevicename.php?imei=357518080497639
